"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"15","01","UP","0115ES003",,,"","","15","01","UP","0115ES003",,"","15","01","16",12.00,30.00,"PM","12",0.00,0.00,0.00,0.00,"","ALMA","492.93","05",50.00,"2","1","012","R","WRVR","2",5023.00,"4","Y","SINGLE MAIN LINE","4","48.2","1","SI","919499","001","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.00,0.00,"H307","",0.00,0.00,0.00,1.00,"H307","1","4","012",85000.00,,"05C033",0.00,"000000",0.00,"1","0","0","1","08","30","","","3","5",,"1L",,"","",288.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"CRAWFORD","033","00","00","","N","CWR",,"BALLAST TRAIN WAS MAKING A SHOVING MOVE SOUTHWARD NEAR MP 493, STRUCK BALLAST REGULATOR 1303-16, SHO","VING IT INTO A SECOND BALLAST REGULATOR, 1301-16.  OPERATOR OF 2ND REGULATOR WAS EXITING BALLAST REG","ULATOR 1301 PRIOR TO IMPACT AND WAS THROWN TO GROUND BETWEEN EAST WING AND BALLAST LINE.","","","","","","","","","","","","","0",35.45,-94.27,"1","1","Q","","","VAN BUREN SUB"
,"15","03","UP","0315FW012",,,"","","15","03","XTCB","INDUSTRY",,"","15","03","10",8.00,30.00,"PM","01",0.00,0.00,0.00,0.00,"","MIDLOTHIAN","22.5","48",51.00,"4","2","006","E","AMDM","1",17763.00,"1","Y","TCB INDUSTRY TRACK","1","","4","CEFX","001043","002","","","","000","",2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,23206.00,"T113","",0.00,0.00,0.00,0.00,"T113","4","1","006",23456.00,,"48C139",0.00,"000000",0.00,"1","0","2","0","06","50","08","49","1","5",,"1L",,"","",448.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"ELLIS","139","","","","N","OTH",,"AMDMER-09, WITH LEAD UNIT CSXT7778, WAS PULLING OUT OF THE PLANT FACILITY HEADING SOUTH WHEN THEY WE","RE INSTRUCTED THAT THEIR ENGINE WA BAD ORDERED.  THEY PRCEEDED NORTH BOUND WHEN THE ENGINEER NOTICED","THE CROSSING BOARDS AT THE CROSSING WERE DAMAGED AND FELTH THE TRAIN HAD HESITATION WHILE SHOVING.","THEY STOPPED THEIR TRAIN AND THE CONDUCTOR NOTED THAT THE REAR UNIT OF THEIR CONSIST HAD DERAILED,","CEFX1043.  DERAILMENT.  INDUSTRY MAINTAINS TRACK","","","","","","","","","","","0",32.48,-96.98,"2","5","K","L","","MIDLOTHIAN SUB"
,"15","05","UP","0515LV012",,,"","","15","05","UP","0515LV012",,"755785X","15","05","21",4.00,30.00,"PM","07",0.00,0.00,0.00,0.00,"","CORRIGAN","92.96","48",70.00,"2","2","044","E","LLA2","1",972.00,"1","Y","MAIN TRACK","4","17.6","1","HLCX","003887","001","","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100.00,81950.00,"M303","",0.00,3.00,0.00,3.00,"M303","1","4","044",83050.00,,"48C373",3.00,"000000",0.00,"1","0","1","0","08","","08","","1","5",,"1L",,"","",352.00,,"2015",0.00,2.00,0.00,0.00,0.00,1.00,"POLK","373","","","","N","CWR",,"LLA27-21 WAS TRAVELING NORTH BOUND WHEN IT COLLIDED WITH A 2113 INTERNATIONAL PROSTAR SEMI TRAILER.","DRIVER OF VEHICLE WAS STOPPED ON CROSSING AND FLED THE VEHICLE WHEN TRAIN APPROACHED.  FORCE OF IMP","ACT PUSHED TRUCK INTO ANOTHER LANE AND IT STRUCK ANOTHER SEMI.  DRIVER OF SECOND VEHICLE WAS TAKEN T","O LIVINGSTON ST. JOSEPH HOSPITAL.  NOTHING DERAILED.","","","","","","","","","","","","0",30.99,-94.82,"1","2","P","","","LUFKIN SUB"
,"15","04","WTA","20150402",,,"","","15","04","BNSF","KS0415101",,"","15","04","02",4.00,55.00,"AM","01",0.00,0.00,0.00,0.00,"","WICHITA","2107","20",56.00,"4","2","007","R","2359","2",15444.00,"7","Y","MAIN1","5","","1","CHTT","721656","022","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,269764.00,0.00,"H607","H702",0.00,0.00,0.00,0.00,"H607","1","5","007",332049.00,,"20C173",0.00,"000000",0.00,"1","0","1","1","04","46","04","46","2","6",,"3",,"","",1192.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"SEDGWICK","173","00","00","","N","CWR",,"THE CREW WAS IN THE PROCESS OF DELIVERING A LOADED SHUTTLE TRAIN OUT OF BARTLETT GRAIN WITH 108 CAR.","THE CREW PULLED THOUGH THE CROSSOVER NORTH OF 21ST STREET TO GET ON THE UP WEST PASS AND THE HEAD E","ND OF THE TRAIN WAS TRAVELING ON THE WEST PASS SOUTH TOWARDS 17TH STREET WHERE THE “A” SWITCH AT 17T","H STREET SHOULD HAVE BEEN THROWN TO GET BACK ON WTA TRACKS IN ORDER TO GET SUFFICIENT CLEARANCE PAST","THE CROSSOVER SWITCH SO THAT THE TRAIN COULD BE SHOVED BACK IN TO THE UP “KATY” YARD. THE ENGINEER","WAS IN THE CAB OF THE ENGINE, THE FOREMAN WAS ON THE TRAILING CAR AND THE HELPER HAD PLACED THE DERA","IL IN THE DERAILING POSITION AT 29TH STREET AND WAS IN THE VEHICLE WITH THE CLERK HEADING TOWARDS TH","E “KATY” YARD. THE FOREMAN TOLD THE ENGINEER 20 CARS (WHAT WAS NEEDED TO CLEAR THE CROSSOVER) NEAR T","HAT TIME THE TRAIN SLOWED AND THE ENGINEER TOLD THE FOREMAN THAT HE NEEDED TO SHOVE BACK 20 CARS. TH","EY PROCEEDED TO SHOVE THE TRAIN AND THEN THE TRAIN CAME TO A STOP. THE HELPER WAS IN THE VEHICLE WIT","H THE CLERK AND HE WENT TO 17TH STREET AND STARTED WALKING SOUTH AND FOUND 3 CARS ON THEIR SIDE (CHT","T721656, CHTT720511, CMO20559 AND THERE WAS ADDITIONAL DAMAGE TO TILX521144 AND CHTT720124).","","","","0",37.71,-97.33,"1","1","Q","","","ARKANSAS CITY"
,"15","04","BNSF","SF0415105",,,"","","15","04","BNSF","SF0415105",,"","15","04","08",3.00,0.00,"AM","01",0.00,0.00,0.00,0.00,"","MEMPHIS","","47",65.00,"4","1","008","E","YMEM","1",0.00,"7","Y","2051","1","","2","AGR","000338","003","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,6.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,1600.00,12500.00,"T403","",0.00,0.00,0.00,0.00,"T403","2","1","008",14100.00,,"47C157",0.00,"000000",0.00,"0","0","1","1","","","03","59","1","3",,"1L",,"","",132.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"SHELBY","157","00","00","","N","OTH",,"RCO Y-MEM3122-07 DERAILED 8 RAILCARS WHILE PULLING OUT OF YARD TRACK 2051 DUE TO TRACK CAUSES. NO HA","ZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","2",35.02,-89.88,"2","5","L","","","THAYER SOUTH"
,"15","05","UP","0515PR018",,,"","","15","05","UP","0515PR018",,"","15","05","19",10.00,5.00,"PM","01",3.00,0.00,0.00,0.00,"","SOUTH HOLLAND","17.0","17",70.00,"4","1","007","R","YYCP","1",5103.00,"7","Y","TRACK 308","1","","2","MP","718820","029","N","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,57.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10210.00,3894.00,"T103","",0.00,0.00,0.00,0.00,"T103","2","1","007",14104.00,,"17C031",0.00,"000000",0.00,"1","0","0","1","06","05","","","1","4",,"1L",,"","",73.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"TRAIN DERAILED PULLING A STRAIGHT CUT OUT OF TRACK 18 DUE TO WARPED RAIL.","","","","","","","","","","","","","","","0",41.63,-87.61,"2","5","K","","","VILLA GROVE SUB"
,"15","05","UP","0515PR023",,,"","","15","05","UP","0515PR023",,"","15","05","22",10.00,59.00,"AM","13",0.00,0.00,0.00,0.00,"","NORTHLAKE","14.0","17",65.00,"2","1","010","E","","3",121.00,"5","N","BOWL TRACK 28","1","","2","AGPX","098032","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48096.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","010",48096.00,,"17C031",0.00,"000000",0.00,"0","0","0","0","","","","","1","4",,"1L",,"","",147.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"THIS WAS NOT A DERAILMENT, HIGH IMPACT ONLY.  AGPX 98032 WAS HUMPED INTO TRACK 28 ON MAY 22 HAD A HI","GH IMPACT, NO DERAILMENT.  HUMPED IN BY Y881-21","","","","","","","","","","","","","","0",41.89,-87.90,"2","5","","","","PROVISO YARD"
,"15","05","UP","0515PR026",,,"","","15","05","UP","0515PR026",,"","15","05","27",5.00,45.00,"AM","13",0.00,0.00,0.00,0.00,"","NORTHLAKE","14.0","17",68.00,"1","1","010","E","","3",130.00,"5","N","BOWL TRACK 38","1","","2","SIRX","465051","001","Y","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11078.00,0.00,"H601","",0.00,0.00,0.00,0.00,"H601","2","1","010",11078.00,,"17C031",0.00,"000000",0.00,"0","0","0","0","","","","","1","4",,"1L",,"","",95.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031","","","","N","OTH",,"CAR WAS HUMPED INTO TRACK 38, FOUND WHEN TRIMMING TRACK 38 ON 5/27 WITH DAMAGE.  NO DERAILMENT.","","","","","","","","","","","","","","","0",41.89,-87.90,"2","5","","","","PROVISO YARD"
,"15","05","UP","0515LV016","15","05","BNSF","GC0515201","15","05","UP","0515LV016",,"755278P","15","05","29",9.00,40.00,"PM","07",0.00,0.00,0.00,0.00,"","KEITHVILLE","210.84","22",80.00,"4","2","000","","","2",0.00,"",,"MAIN TRACK","4","20.1","1","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21000.00,"M302","",0.00,0.00,0.00,0.00,"M302","1","4","000",21000.00,,"22C017",0.00,"000000",0.00,"0","0","0","0","","","","","1","5",,"1L",,"","",536.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"CADDO","017","","","","","CWR",,"VEHICLE TRAVELING EAST ON KEITHVILLE KEATCHIE RD LOST CONTROL IN THE CURVE WHEN APPROACHING THE RAIL","ROAD CROSSING.  THE VEHICLE CROSSED THE TRACKS AND STRUCK THE SIGNAL MAST FOR THE CROSSING GATES.  V","EHICLE STOPPED WITH THE REAR FOULING THE MAIN TRACK.  BNSF TRAIN MMEH2J-28 STRUCK THE REAR OF THE VE","HICLE AT THE REAR BUMPER.  THE DRIVER HAD BEEN THE ONLY PERSON IN THE VEHICLE.  THE DRIVER WAS OUT O","F THE VEHICLE AT THE TIME IT WAS STRUCK BY THE TRAIN.  NO INJURIES TO THE CREW MEMBERS OR DRIVER.  B","NSF REPORTS $500 IN EQUIPMENT DAMAGE","","","","","","","","","","",32.23,-93.88,"1","2","P","D","","LUFKIN SUB"
,"15","05","UP","0515NP004",,,"","","15","05","UP","0515NP004",,"","15","05","06",5.00,26.00,"PM","01",0.00,0.00,0.00,0.00,"","DAVENPORT","220.25","31",68.00,"2","2","038","R","COLN","4",3145.00,"1","Y","NO. 1 MAIN","5","47.8","1","AEPX","030036","065","N","","","000","",2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,214494.00,14300.00,"M105","",0.00,0.00,0.00,0.00,"M105","1","5","038",228794.00,,"31C169",0.00,"000000",0.00,"2","0","1","0","04","26","04","26","1","6",,"1L",,"","",172.00,,"2015",0.00,0.00,0.00,0.00,0.00,0.00,"THAYER","169","","","","N","CWR",,"THE COLNA9-04 AN EMPTY COAL TRAIN TRAVELLING WEST AT 38MPH ON THE NO. 1 MAIN OF THE MARYSVILLE SUB A","T MP220.25 WENT INTO EMERGENCY WHEN THE WIND BLEW 7 CARS OFF THE TRACKS.","","","","","","","","","","","","","","0",40.29,-97.73,"1","1","Q","A","","MARYSVILLE SUB"
